K11,K12,K13,K14,K15,K16,K21,K22,K23,K24,K25,K26,K31,K32,K33,K34,K35,K36,K41,K42,K43,K44,K45,K46,K51,K52,K53,K54,K55,K56,K61,K62,K63,K64,K65,K66,vol
6560.12667,2598.97744,3641.529239,18.13437402,0,0,2771.712583,6791.999377,4294.850957,37.95881162,0,0,3468.794095,3603.910382,10271.266,34.57868445,0,0,19.34067406,37.5143543,39.84834195,3564.259144,0,0,0,0,0,0,3821.439382,39.29968077,0,0,0,0,45.5511669,2278.270733,0.000153372
6562.237766,2544.21517,3704.735894,18.79878776,0,0,2731.965092,6714.13954,4213.720828,39.96948438,0,0,3516.985972,3462.72114,10605.22275,35.22566667,0,0,20.40689556,40.34563373,41.28194851,3494.454932,0,0,0,0,0,0,3914.801722,40.51829926,0,0,0,0,47.76191423,2198.452911,0.000153372
6564.67061,2487.555971,3771.126469,19.37040082,0,0,2690.143225,6631.348042,4129.224857,41.97050474,0,0,3568.539216,3318.875843,10955.28102,35.51109854,0,0,21.41497173,42.44586428,43.21402263,3423.718167,0,0,0,0,0,0,4012.431686,41.51682599,0,0,0,0,49.80715419,2116.417786,0.000153372
6567.35618,2429.324469,3840.100252,19.44293703,0,0,2645.941344,6543.68089,4040.084486,43.08018188,0,0,3623.483377,3173.616984,11320.31652,34.69156623,0,0,21.9116956,43.45992235,44.18686005,3352.167552,0,0,0,0,0,0,4114.570095,41.45456861,0,0,0,0,50.63979779,2031.811822,0.000153174
6570.539655,2369.014264,3913.144355,19.01724007,0,0,2599.494868,6451.481111,3946.49836,43.22579644,0,0,3682.663751,3024.575946,11706.07906,32.84316384,0,0,21.86110301,43.4304065,44.01400556,3280.616268,0,0,0,0,0,0,4221.581036,40.3091261,0,0,0,0,50.20125448,1945.117808,0.000147175
6574.089045,2307.662413,3988.693768,18.47682317,0,0,2551.423712,6354.928234,3850.766613,43.19993263,0,0,3744.93247,2875.72142,12104.00846,30.70736003,0,0,21.67743396,44.00580201,42.70393382,3210.552682,0,0,0,0,0,0,4331.642964,38.93539476,0,0,0,0,49.46378056,1857.686155,0.000141437
6577.99984,2245.763031,4066.23633,17.8287573,0,0,2501.997406,6254.729066,3753.260558,42.98025196,0,0,3810.001956,2728.32306,12511.68476,28.33477723,0,0,21.35516127,43.23276212,42.18788296,3142.834029,0,0,0,0,0,0,4444.115666,37.35454578,0,0,0,0,48.43016706,1770.121774,0.000135966
6582.257541,2183.735115,4145.295048,17.08129835,0,0,2451.536073,6151.707034,3654.437258,42.54271319,0,0,3877.49409,2583.233426,12926.74293,25.78248021,0,0,20.8951619,43.01553777,40.56510983,3078.287135,0,0,0,0,0,0,4558.265004,35.58902053,0,0,0,0,47.10487925,1683.060006,0.000130772
6586.836519,2122.007868,4225.338207,16.24397201,0,0,2400.410392,6046.433759,3555.207808,41.86166479,0,0,3946.935684,2441.597715,13346.14502,23.11422327,0,0,20.29557887,41.7997937,39.38252177,3017.675013,0,0,0,0,0,0,4673.262451,33.66262039,0,0,0,0,45.49517396,1597.159537,0.000125863
6591.698972,2061.051029,4305.744858,15.32729623,0,0,2349.042188,5939.892248,3456.276502,40.91291561,0,0,4017.7537,2304.311869,13766.70293,20.39626931,0,0,19.55972108,40.85490053,37.38398379,2961.663517,0,0,0,0,0,0,4788.186937,31.59992597,0,0,0,0,43.61106855,1513.094816,0.000121246
6596.794214,2001.347584,4385.829273,14.34230858,0,0,2297.901527,5832.992144,3358.613964,39.67363233,0,0,4089.275329,2172.398192,14184.70313,17.69560199,0,0,18.68977767,39.09730831,35.66180235,2910.790257,0,0,0,0,0,0,4902.029286,29.42544089,0,0,0,0,41.46469596,1431.547526,0.000116928
6602.05845,1943.411665,4464.822134,13.30034638,0,0,2247.502519,5726.930084,3263.079992,38.12546119,0,0,4160.73128,2046.716574,14596.20854,15.07592432,0,0,17.69200553,37.45993913,33.30808298,2865.437692,0,0,0,0,0,0,5013.701337,27.16316156,0,0,0,0,39.07063808,1353.19669,0.000112916
6607.415116,1887.763629,4541.896836,12.21262999,0,0,2198.395994,5622.882057,3170.70192,36.25520926,0,0,4231.26447,1928.17246,14996.88542,12.59531072,0,0,16.57234918,35.13913896,31.15025775,2825.814016,0,0,0,0,0,0,5122.049275,24.83589566,0,0,0,0,36.44558904,1278.708399,0.000109217
6612.775834,1834.941086,4616.162248,11.08987905,0,0,2151.161136,5522.213317,3082.431226,34.05662139,0,0,4299.942199,1817.551028,15382.21777,10.30289482,0,0,15.33982284,32.86882361,28.49046777,2791.944085,0,0,0,0,0,0,5225.869739,22.46457506,0,0,0,0,33.60795824,1208.726225,0.000105835
6618.042138,1785.475869,4686.692684,9.941921869,0,0,2106.394343,5426.262887,2999.314484,31.53064688,0,0,4365.77421,1715.640589,15747.45625,8.237040594,0,0,14.00317675,30.02272588,25.98998111,2763.671708,0,0,0,0,0,0,5323.930744,20.06768085,0,0,0,0,30.57743825,1143.861905,0.000102776
6623.107967,1739.898309,4752.533561,8.777511551,0,0,2064.696287,5336.46277,2922.322378,28.68669048,0,0,4427.735583,1623.130467,16087.81186,6.423355725,0,0,12.57342375,27.20922709,23.0844679,2740.67405,0,0,0,0,0,0,5414.996609,17.66093053,0,0,0,0,27.37495419,1084.686221,0.000100046
6627.862918,1698.714814,4812.736859,7.603914415,0,0,2026.657031,5254.175166,2852.452957,25.54164828,0,0,4484.794643,1540.684091,16398.49448,4.874009379,0,0,11.06100028,23.91748731,20.3265138,2722.488237,0,0,0,0,0,0,5497.856835,15.2566683,0,0,0,0,24.02175332,1031.720987,9.7647E-05
6632.196099,1662.407463,4866.376935,6.426840446,0,0,1992.840838,5180.756405,2790.606946,22.11996547,0,0,4535.94356,1468.873449,16674.90079,3.587396317,0,0,9.477679943,20.67263115,17.23808862,2708.54889,0,0,0,0,0,0,5571.355807,12.86381613,0,0,0,0,20.53919389,985.4328969,9.55844E-05
6636.000472,1631.413559,4912.588329,5.250419845,0,0,1963.770145,5117.432351,2737.648228,18.45290738,0,0,4580.231743,1408.221886,16912.70509,2.548771996,0,0,7.834469131,17.03837835,14.29949818,2698.234045,0,0,0,0,0,0,5634.424771,10.48790131,0,0,0,0,16.94867444,946.2285199,9.38601E-05
6639.177451,1606.121835,4950.587968,4.077169358,0,0,1939.909768,5065.327106,2694.311967,14.57739725,0,0,4616.800034,1359.160234,17108.0399,1.731280187,0,0,6.14309234,13.48437748,11.08799188,2690.915941,0,0,0,0,0,0,5686.113446,8.131118409,0,0,0,0,13.27104646,914.4503514,9.24781E-05
6641.641465,1586.855317,4979.710542,2.908092654,0,0,1921.651973,5025.371076,2661.236816,10.53482395,0,0,4644.913886,1322.050193,17257.60535,1.097546666,0,0,4.414223459,9.619985681,8.036908154,2686.012944,0,0,0,0,0,0,5725.620286,5.792582641,0,0,0,0,9.526465979,890.3741537,9.14396E-05
6643.324127,1573.867087,4999.429421,1.742973028,0,0,1909.303708,4998.310522,2638.904309,6.370329236,0,0,4663.9928,1297.157828,17358.81337,0.601562876,0,0,2.659100945,5.880500924,4.755902856,2683.03852,0,0,0,0,0,0,5752.318342,3.469001182,0,0,0,0,5.734583528,874.2076887,9.0746E-05
6644.177714,1567.329026,5009.381832,0.580658118,0,0,1903.075873,4984.649196,2627.654297,2.131739078,0,0,4673.634984,1284.666907,17409.87303,0.190893393,0,0,0.888058091,1.90065977,1.651572594,2681.64278,0,0,0,0,0,0,5765.776967,1.155207098,0,0,0,0,1.914637047,866.0897293,9.03991E-05
